# decisions-status.tsv -- sidecar status table for the ruling ledger (Track R-D,
# Clear the Stage, 2026-08-06; plan of record review/stage-clear/refactor-plan.md §R-D).
# One row per ruling R39-R120, across all volumes (tier0 DECISIONS volumes + klee-mod).
#
# STATUS DISCIPLINE -- read before editing:
#   Every row has now been READ. The Class-P status pass of 2026-08-06
#   (order: docs/dispatch-2026-08-06-status-pass-order.md; digest:
#   docs/registry/status-pass-digest-2026-08-06.md; P-ledger row + revert
#   handle: docs/registry/p-ledger.md) triaged the 77 rows that used to say
#   UNREVIEWED, under the order's own decision rule:
#     - OPERATIVE means NO CITABLE SUPERSEDER WAS FOUND. It is an absence
#       claim with its search scope recorded in the evidence column, not a
#       judgment that the ruling is wise, current in spirit, or beyond
#       re-opening. Anyone holding a citation this pass missed should file it.
#     - AMENDED-BY / SUPERSEDED-BY / DISCHARGED-BY:R<n> is recorded ONLY on an
#       explicit citation -- a later ruling or a dated in-entry banner naming
#       the R-number in strike/amend/discharge/override language -- quoted in
#       the evidence column, with the scope of the move stated. Where the move
#       is partial, the evidence says so and the rest of the ruling is
#       explicitly NOT judged.
#     - DOUBT means supersession is ARGUABLE and this pass refuses to guess:
#       a partial amendment, or a scope a later ruling narrowed without naming
#       the ruling. Doubt disqualifies (Class-P charter §2). The DOUBT rows
#       are a single [USER] queue row riding the S4-G9 sitting.
#   The interpretive line this pass drew, recorded so it can be overruled in
#   one place: a LATER BALANCE DOSE ON THE SAME CARD OR KNOB IS NOT A
#   SUPERSEDER of the ruling that shipped the earlier number. Each dose is a
#   number in a declared sequence, taken in its own stamped world, and every
#   such ruling stands as the record of what it shipped. Only a ruling that
#   names another ruling moves that ruling's status here.
#
# The digest generator (tools/gen_decisions_digest.py) is a pure reader of this
# file; it renders each row's status and never authors one.
# ruling	status	evidence
R39	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R40	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R41	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R42	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R43	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R44	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs); the only in-entry banner is R102's escrow mark, STRUCK by R113 -- "the strike restores its pre-escrow status" -- so the threshold-reach table stands as ratified, with R113 clause C-d's limits riding.
R45	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R46	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R47	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R48	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R49	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R50	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R51	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R52	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs); affirmed rather than superseded by R118 §5 row 10.8, verbatim: "the Neuvillette contradiction dissolves and R52 needs no amendment".
R53	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R54	AMENDED-BY:R56	R56 preamble, verbatim: "USER RULING, same day as R54/R55 and SUPERSEDING their statline conclusions. R54 chose meter 20 on a 10-card starter with a /4 bank read; this ruling rebuilds the starting deck and flips the read to a multiplier. R54's act numbers are a superseded world -- never compare them unlabeled."
R55	AMENDED-BY:R56	R56 preamble names R54/R55 jointly: "SUPERSEDING their statline conclusions" (statline conclusions only; the rest of R55 — the rename batch and voice law — is not named and is NOT judged here).
R56	SUPERSEDED-BY:R73	In-entry banner at R56, verbatim: "SUPERSEDED BY R73 (Neap Tide v2.1, 2026-07-26; addendum A7 pointer.) ... every Kokomi number in this entry is archive." The banner's own carve-out (the withdrawal "still stands on its own terms") travels with it.
R57	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R58	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R59	DOUBT	arguable partial supersession: R116's NC-10 rules slot 2 "any companion card" / "unrestricted", which is incompatible with R59's Uncommon-or-Rare slot-2 floor, and R116 names R59 in the same section ("`R59`'s slot-2 floor and `R60`'s override live in the same neighbourhood") -- but as a docket cross-note, never as a strike. Cited-and-contradicted is not cited-as-superseded.
R60	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs); R116's NC-10 names "`R60`'s override" as a docket cross-note only, and NC-10's slot spec does not touch the shop-only override or the deferred phase-2 removal that are R60's content.
R61	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R62	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R63	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R64	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R65	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R66	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R67	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R68	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
